run1,blueBLUE,bluePURPLE,blueRED,blueWHITE,purpleBLUE,purplePURPLE,purpleRED,purpleWHITE,redBLUE,redPURPLE,redRED,redWHITE,whiteBLUE,whitePURPLE,whiteRED,whiteWHITE
blueBLUE,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
bluePURPLE,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1
blueRED,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1
blueWHITE,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
purpleBLUE,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
purplePURPLE,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1
purpleRED,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1
purpleWHITE,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
redBLUE,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
redPURPLE,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1
redRED,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1
redWHITE,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
whiteBLUE,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
whitePURPLE,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1
whiteRED,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1
whiteWHITE,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
