run1,blackBLACK,blackGREEN,blueBLUE,bluePURPLE,blueRED,greenGREEN,greenPINK,greenYELLOW,pinkBLACK,pinkPINK,purplePURPLE,purpleRED,purpleWHITE,redRED,redWHITE,whiteBLUE,whiteWHITE,yellowBLACK,yellowPINK,yellowYELLOW
blackBLACK,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
blackPINK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
blackYELLOW,0,0,0,-1,0,0,-1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
blueBLUE,0,0,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,0,0,-1,0,0,0
blueWHITE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
greenBLACK,0,0,0,-1,0,0,-1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
greenGREEN,0,0,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,0,0,-1,0,0,0
pinkGREEN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pinkPINK,0,0,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,0,0,-1,0,0,0
pinkYELLOW,0,0,0,-1,0,0,-1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
purpleBLUE,0,0,0,-1,0,0,-1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
purplePURPLE,0,0,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,0,0,-1,0,0,0
redBLUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
redPURPLE,0,0,0,-1,0,0,-1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
redRED,0,0,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,0,0,-1,0,0,0
whitePURPLE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
whiteRED,0,0,0,-1,0,0,-1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
whiteWHITE,0,0,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,0,0,-1,0,0,0
yellowGREEN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
yellowYELLOW,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
