run1,blueBLUE,bluePURPLE,blueRED,blueWHITE,purpleBLUE,purplePURPLE,purpleRED,purpleWHITE,redBLUE,redPURPLE,redRED,redWHITE,whiteBLUE,whitePURPLE,whiteRED,whiteWHITE
blueBLUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bluePURPLE,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
blueRED,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
blueWHITE,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
purpleBLUE,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
purplePURPLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
purpleRED,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
purpleWHITE,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
redBLUE,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
redPURPLE,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
redRED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
redWHITE,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
whiteBLUE,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
whitePURPLE,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
whiteRED,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
whiteWHITE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
