run1,blackBLACK,blackGREEN,blackPINK,blackYELLOW,greenBLACK,greenGREEN,greenPINK,greenYELLOW,pinkBLACK,pinkGREEN,pinkPINK,pinkYELLOW,yellowBLACK,yellowGREEN,yellowPINK,yellowYELLOW
blackBLACK,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
blackGREEN,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
blackPINK,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
blackYELLOW,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
greenBLACK,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
greenGREEN,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
greenPINK,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
greenYELLOW,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
pinkBLACK,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
pinkGREEN,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
pinkPINK,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
pinkYELLOW,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
yellowBLACK,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
yellowGREEN,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
yellowPINK,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
yellowYELLOW,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
